		Total nat. gas (kBtu/h)	Dry-bulb temperature (°C)
			
Date	Time	18 Havelock-test-Newcastle.aps	NewcastleEWY.fwt
Sun, 01/Jan	24:00		
	03:45	11.198	
	04:00		-2.60
	04:15	11.236	
	04:45	11.298	
	05:00		-3.00
	05:15	11.329	
	05:45	11.339	
	06:00		-3.00
	06:15	11.404	
	06:45	11.520	
	07:00		-3.70
	07:15	11.660	
	07:45	11.828	
	08:00		-4.70
	08:15	11.507	
	08:45	11.316	
	09:00		-3.30
	09:15	10.574	
	09:45	10.515	
	10:00		-2.90
	10:15	10.503	
	10:45	10.477	
	11:00		-3.20
	11:15	10.402	
	11:45	10.451	
	12:00		-3.10
	12:15	10.631	
	12:45	10.809	
	13:00		-3.70
	13:15	10.768	
	13:45	10.382	
	14:00		-3.50
	14:15	10.240	
	14:45	10.558	
	15:00		-4.90
	15:15	10.873	
	15:45	11.074	
	16:00		-3.80
	16:15	11.251	
	16:45	11.445	
	17:00		-4.30
	17:15	11.576	
	17:45	11.662	
	18:00		-4.40
	18:15	11.043	
	18:45	10.996	
	19:00		-3.90
	19:15	10.955	
	19:45	10.929	
	20:00		-3.60
	20:15	10.869	
	20:45	10.788	
	21:00		-2.80
	21:15	10.801	
	21:45	10.905	
	22:00		-3.30
	22:15	11.594	
	22:45	11.582	
	23:00		-3.70
	23:15	11.951	
	23:45	11.895	
Thu, 12/Jan	24:00		-3.10
	00:15	11.967	
	00:45	11.989	
	01:00		-3.30
	01:15	12.027	
	01:45	12.083	
	02:00		-3.70
	02:15	12.149	
	02:45	12.226	
	03:00		-4.20
	03:15	12.203	
	03:45	12.079	
	04:00		-3.30
	04:15	12.095	
	04:45	12.251	
	05:00		-4.40
	05:15	12.345	
	05:45	12.384	
	06:00		-4.60
	06:15	12.402	
	06:45	12.395	
	07:00		-4.50
	07:15	12.378	
	07:45	12.352	
	08:00		-4.30
	08:15	11.952	
	08:45	11.991	
	09:00		-5.20
	09:15	11.531	
	09:45	11.501	
	10:00		-4.90
	10:15	11.456	
	10:45	11.420	
	11:00		-4.70
	11:15	11.442	
	11:45	11.515	
	12:00		-5.10
	12:15	11.563	
	12:45	11.577	
	13:00		-5.10
	13:15	11.570	
	13:45	11.573	
	14:00		-4.70
	14:15	11.696	
	14:45	11.946	
	15:00		-5.30
	15:15	12.092	
	15:45	12.102	
	16:00		-4.60
	16:15	12.235	
	16:45	12.485	
	17:00		-5.30
	17:15	12.640	
	17:45	12.715	
	18:00		-5.30
	18:15	11.855	
	18:45	11.603	
	19:00		-3.90
	19:15	11.562	
	19:45	11.756	
	20:00		-4.80
	20:15	11.841	
	20:45	11.827	
	21:00		-4.50
	21:15	12.009	
	21:45	12.379	
	22:00		-6.10
	22:15	12.604	
	22:45	12.102	
	23:00		-3.40
	23:15	12.444	
	23:45	12.346	
Fri, 13/Jan	24:00		-3.10
	00:15	12.414	
	00:45	12.419	
	01:00		-3.30
	01:15	12.504	
	01:45	12.734	
	02:00		-4.50
	02:15	12.811	
	02:45	12.724	
	03:00		-4.10
	03:15	12.582	
	03:45	12.424	
	04:00		-3.20
	04:15	12.315	
	04:45	12.238	
	05:00		-2.80
	05:15	12.265	
	05:45	12.400	
	06:00		-3.80
	06:15	12.494	
	06:45	12.541	
	07:00		-4.10
	07:15	12.543	
	07:45	12.499	
	08:00		-3.80
	08:15	12.036	
	08:45	12.003	
	09:00		-4.10
	09:15	11.446	
	09:45	11.399	
	10:00		-3.60
	10:15	11.333	
	10:45	11.202	
	11:00		-3.30
	11:15	10.989	
	11:45	10.788	
	12:00		-3.30
	12:15	10.623	
	12:45	10.552	
	13:00		-3.60
	13:15	10.600	
	13:45	10.914	
	14:00		-4.10
	14:15	11.241	
	14:45	11.363	
	15:00		-3.60
	15:15	11.510	
	15:45	11.724	
	16:00		-3.90
	16:15	11.857	
	16:45	11.896	
	17:00		-3.60
	17:15	11.845	
	17:45	11.715	
	18:00		-2.40
	18:15	11.098	
	18:45	11.272	
	19:00		-3.60
	19:15	11.400	
	19:45	11.487	
	20:00		-4.10
	20:15	11.506	
	20:45	11.469	
	21:00		-3.60
	21:15	11.467	
	21:45	11.494	
	22:00		-3.60
	22:15	12.023	
	22:45	11.924	
	23:00		-3.50
	23:15	12.328	
	23:45	12.080	
Sat, 14/Jan	24:00		-2.00
	00:15	12.037	
	00:45	11.989	
	01:00		-1.90
	01:15	11.842	
	01:45	11.592	
	02:00		-0.40
	02:15	11.446	
	02:45	11.407	
	03:00		-0.40
	03:15	11.387	
	03:45	11.386	
	04:00		-0.60
	04:15	11.412	
	04:45	11.464	
	05:00		-1.10
	05:15	11.440	
	05:45	11.336	
	06:00		-0.50
	06:15	11.332	
	06:45	11.429	
	07:00		-1.30
	07:15	11.399	
	07:45	11.238	
	08:00		-0.30
	08:15	11.052	
	08:45	11.010	
	09:00		-0.60
	09:15	10.348	
	09:45	10.297	
	10:00		-0.30
	10:15	10.301	
	10:45	10.340	
	11:00		-0.60
	11:15	10.340	
	11:45	10.295	
	12:00		-0.10
	12:15	10.277	
	12:45	10.289	
	13:00		-0.10
	13:15	10.283	
	13:45	10.258	
	14:00		0.30
	14:15	10.256	
	14:45	10.281	
	15:00		0.30
	15:15	10.287	
	15:45	10.271	
	16:00		0.70
	16:15	10.265	
	16:45	10.267	
	17:00		0.80
	17:15	10.262	
	17:45	10.249	
	18:00		1.00
	18:15	9.683	
	18:45	9.662	
	19:00		1.00
	19:15	9.640	
	19:45	9.622	
	20:00		1.00
	20:15	9.593	
	20:45	9.566	
	21:00		1.30
