DateTime,Total nat. gas (kBtu/h),Dry-bulb temperature (°C)
06-11 07:45,5.041,9.1
06-11 08:15,4.946,9.1
06-11 08:45,4.926,9.1
06-11 09:15,4.688,9.3
06-11 09:45,4.688,9.3
06-11 10:15,4.688,9.5
06-11 10:45,4.688,9.5
06-11 11:15,4.688,9.7
06-11 11:45,4.688,9.7
06-11 12:15,4.688,10.6
06-11 12:45,4.688,10.6
06-11 13:15,4.688,9.9
06-11 13:45,4.688,9.9
06-11 14:15,4.688,11.0
06-11 14:45,4.688,11.0
06-11 15:15,4.688,10.9
06-11 15:45,4.688,10.9
06-11 16:15,4.688,10.2
06-11 16:45,4.688,10.2
06-11 17:15,4.688,10.1
06-11 17:45,4.688,10.1
06-11 18:15,4.688,10.0
06-11 18:45,4.688,10.0
06-11 19:15,4.688,9.1
06-11 19:45,4.688,9.1
06-11 20:15,4.688,8.0
06-11 20:45,4.688,8.0
06-11 21:15,4.688,7.7
06-11 21:45,4.688,7.7
06-11 22:15,4.688,7.5
06-11 22:45,4.688,7.5
06-11 23:15,4.866,7.8
06-11 23:45,5.053,7.8
06-12 00:15,5.241,7.7
06-12 00:45,5.312,7.7
06-12 01:15,5.357,7.8
06-12 01:45,5.383,7.8
06-12 02:15,5.387,8.2
06-12 02:45,5.369,8.2
06-12 03:15,5.374,8.1
06-12 03:45,5.404,8.1
06-12 04:15,5.446,7.7
06-12 04:45,5.49,7.7
06-12 05:15,5.55,7.0
06-12 05:45,5.643,7.0
06-12 06:15,5.673,7.3
06-12 06:45,5.606,7.3
06-12 07:15,5.521,7.6
06-12 07:45,5.446,7.6
06-12 08:15,5.379,7.6
06-12 08:45,5.274,7.6
06-12 09:15,4.688,7.8
06-12 09:45,4.688,7.8
06-12 10:15,4.688,8.2
06-12 10:45,4.688,8.2
06-12 11:15,4.688,7.5
06-12 11:45,4.775,7.5
06-12 12:15,4.777,9.1
06-12 12:45,4.688,9.1
06-12 13:15,4.688,9.5
06-12 13:45,4.688,9.5
06-12 14:15,4.688,9.5
06-12 14:45,4.688,9.5
06-12 15:15,4.688,9.9
06-12 15:45,4.688,9.9
06-12 16:15,4.688,9.3
06-12 16:45,4.688,9.3
06-12 17:15,4.688,9.2
06-12 17:45,4.688,9.2
06-12 18:15,4.688,8.6
06-12 18:45,4.688,8.6
06-12 19:15,4.688,8.4
06-12 19:45,4.688,8.4
06-12 20:15,4.688,7.6
06-12 20:45,4.688,7.6
06-12 21:15,4.688,6.4
06-12 21:45,4.688,6.4
06-12 22:15,5.123,5.0
06-12 22:45,5.672,5.0
06-12 23:15,6.027,4.4
06-12 23:45,6.158,4.4
06-13 00:15,6.367,4.2
06-13 00:45,6.439,4.2
06-13 01:15,6.514,3.8
06-13 01:45,6.595,3.8
06-13 02:15,6.618,4.4
06-13 02:45,6.58,4.4
06-13 03:15,6.634,3.2
06-13 03:45,6.785,3.2
06-13 04:15,6.855,3.5
06-13 04:45,6.832,3.5
06-13 05:15,6.767,4.4
06-13 05:45,6.665,4.4
06-13 06:15,6.468,6.6
06-13 06:45,6.144,6.6
06-13 07:15,5.833,7.7
06-13 07:45,5.56,7.7
06-13 08:15,5.286,8.7
06-13 08:45,4.983,8.7
06-13 09:15,4.688,9.7
06-13 09:45,4.688,9.7
06-13 10:15,4.688,10.2
06-13 10:45,4.688,10.2
06-13 11:15,4.688,10.7
06-13 11:45,4.688,10.7
06-13 12:15,4.688,10.6
06-13 12:45,4.688,10.6
06-13 13:15,4.688,9.8
06-13 13:45,4.688,9.8
06-13 14:15,4.688,9.3
06-13 14:45,4.688,9.3
06-13 15:15,4.688,9.6
06-13 15:45,4.688,9.6
06-13 16:15,4.688,9.6
06-13 16:45,4.688,9.6
06-13 17:15,4.688,9.5
06-13 17:45,4.688,9.5
06-13 18:15,4.688,8.9
06-13 18:45,4.688,8.9
06-13 19:15,4.688,8.8
06-13 19:45,4.688,8.8
06-13 20:15,4.688,8.6
06-13 20:45,4.688,8.6
06-13 21:15,4.688,8.5
06-13 21:45,4.688,8.5
06-13 22:15,4.717,8.3
06-13 22:45,5.019,8.3
06-13 23:15,5.246,8.4
06-13 23:45,5.272,8.4
06-14 00:15,5.41,8.3
06-14 00:45,5.443,8.3
06-14 01:15,5.489,7.9
06-14 01:45,5.548,7.9
06-14 02:15,5.575,8.1
06-14 02:45,5.568,8.1
06-14 03:15,5.575,8.0
06-14 03:45,5.597,8.0
06-14 04:15,5.628,7.7
06-14 04:45,5.664,7.7
06-14 05:15,5.683,7.5
06-14 05:45,5.67,7.5
06-14 06:15,5.625,7.5
06-14 06:45,5.551,7.5
06-14 07:15,5.458,7.5
06-14 07:45,5.344,7.5
06-14 08:15,5.224,8.0
06-14 08:45,5.12,8.0
06-14 09:15,4.688,10.0
06-14 09:45,4.688,10.0
06-14 10:15,4.688,9.8
06-14 10:45,4.688,9.8
06-14 11:15,4.688,10.8
06-14 11:45,4.688,10.8
06-14 12:15,4.688,11.3
06-14 12:45,4.688,11.3
06-14 13:15,4.688,10.8
06-14 13:45,4.688,10.8
06-14 14:15,4.688,10.6
06-14 14:45,4.688,10.6
06-14 15:15,4.688,11.0
06-14 15:45,4.688,11.0
06-14 16:15,4.688,11.1
06-14 16:45,4.688,11.1
06-14 17:15,4.688,10.7
06-14 17:45,4.688,10.7
06-14 18:15,4.688,10.3
06-14 18:45,4.688,10.3
06-14 19:15,4.688,10.0
06-14 19:45,4.688,10.0
06-14 20:15,4.688,9.6
06-14 20:45,4.688,9.6
06-14 21:15,4.688,9.2
06-14 21:45,4.688,9.2
06-14 22:15,4.688,8.0
06-14 22:45,4.688,8.0
06-14 23:15,4.688,8.2
06-14 23:45,4.91,8.2
06-15 00:15,5.092,8.9
06-15 00:45,5.085,8.9
06-15 01:15,5.097,8.8
06-15 01:45,5.139,8.8
06-15 02:15,5.182,8.6
06-15 02:45,5.228,8.6
06-15 03:15,5.32,7.5
06-15 03:45,5.461,7.5
06-15 04:15,5.562,7.2
06-15 04:45,5.62,7.2
06-15 05:15,5.617,7.8
06-15 05:45,5.541,7.8
06-15 06:15,5.399,9.2
06-15 06:45,5.192,9.2
06-15 07:15,5.022,9.5
06-15 07:45,4.893,9.5
06-15 08:15,4.766,9.7
06-15 08:45,4.688,9.7
06-15 09:15,4.688,10.8
06-15 09:45,4.688,10.8
06-15 10:15,4.688,11.1
06-15 10:45,4.688,11.1
06-15 11:15,4.688,11.0
06-15 11:45,4.688,11.0
06-15 12:15,4.688,11.0
06-15 12:45,4.688,11.0
06-15 13:15,4.688,11.4
06-15 13:45,4.688,11.4
06-15 14:15,4.688,11.4
06-15 14:45,4.688,11.4
06-15 15:15,4.688,11.4
06-15 15:45,4.688,11.4
06-15 16:15,4.688,11.2
06-15 16:45,4.688,11.2
06-15 17:15,4.688,10.7
06-15 17:45,4.688,10.7
06-15 18:15,4.688,10.3
06-15 18:45,4.688,10.3
06-15 19:15,4.688,9.9
06-15 19:45,4.688,9.9
06-15 20:15,4.688,9.1
06-15 20:45,4.688,9.1
06-15 21:15,4.688,7.7
06-15 21:45,4.688,7.7
06-15 22:15,4.688,5.7
06-15 22:45,4.688,5.7
06-15 23:15,4.901,5.2
06-15 23:45,5.351,5.2
06-16 00:15,5.653,5.2
06-16 00:45,5.761,5.2
06-16 01:15,5.897,4.1
06-16 01:45,6.078,4.1
06-16 02:15,6.215,3.7
06-16 02:45,6.31,3.7
06-16 03:15,6.387,3.5
06-16 03:45,6.452,3.5
06-16 04:15,6.49,3.6
06-16 04:45,6.492,3.6
06-16 05:15,6.392,5.2
06-16 05:45,6.184,5.2
06-16 06:15,5.932,7.2
06-16 06:45,5.633,7.2
06-16 07:15,5.301,9.2
06-16 07:45,4.961,9.2
06-16 08:15,4.711,10.2
06-16 08:45,4.688,10.2
06-16 09:15,4.688,11.2
06-16 09:45,4.688,11.2
06-16 10:15,4.688,11.6
06-16 10:45,4.688,11.6
06-16 11:15,4.688,12.1
06-16 11:45,4.688,12.1
06-16 12:15,4.688,11.4
06-16 12:45,4.688,11.4
06-16 13:15,4.688,8.3
06-16 13:45,4.688,8.3
06-16 14:15,4.688,9.6
06-16 14:45,4.688,9.6
06-16 15:15,4.688,12.2
06-16 15:45,4.688,12.2
06-16 16:15,4.688,12.3
06-16 16:45,4.688,12.3
06-16 17:15,4.688,12.2
06-16 17:45,4.688,12.2
06-16 18:15,4.688,11.7
06-16 18:45,4.688,11.7
06-16 19:15,4.688,11.4
06-16 19:45,4.688,11.4
06-16 20:15,4.688,10.9
06-16 20:45,4.688,10.9
06-16 21:15,4.688,9.4
06-16 21:45,4.688,9.4
06-16 22:15,4.688,9.3
06-16 22:45,4.688,9.3
06-16 23:15,4.688,8.6
06-16 23:45,4.688,8.6
06-17 00:15,4.688,7.0
06-17 00:45,4.772,7.0
06-17 01:15,5.077,7.6
06-17 01:45,5.132,7.6
06-17 02:15,5.153,7.9
06-17 02:45,5.169,7.9
06-17 03:15,5.213,7.5
06-17 03:45,5.292,7.5
06-17 04:15,5.34,7.5
06-17 04:45,5.342,7.5
06-17 05:15,5.328,7.5
06-17 05:45,5.303,7.5
06-17 06:15,5.187,9.3
06-17 06:45,4.974,9.3
06-17 07:15,4.732,10.7
06-17 07:45,4.688,10.7
06-17 08:15,4.688,11.0
06-17 08:45,4.688,11.0
06-17 09:15,4.688,10.4
06-17 09:45,4.688,10.4
06-17 10:15,4.688,11.3
06-17 10:45,4.688,11.3
06-17 11:15,4.688,12.0
06-17 11:45,4.688,12.0
06-17 12:15,4.688,12.0
06-17 12:45,4.688,12.0
06-17 13:15,4.688,12.0
06-17 13:45,4.688,12.0
06-17 14:15,4.688,12.2
06-17 14:45,4.688,12.2
06-17 15:15,4.688,12.4
06-17 15:45,4.688,12.4
06-17 16:15,4.688,12.3
06-17 16:45,4.688,12.3
06-17 17:15,4.688,11.8
06-17 17:45,4.688,11.8
06-17 18:15,4.688,11.4
06-17 18:45,4.688,11.4
06-17 19:15,4.688,11.4
06-17 19:45,4.688,11.4
06-17 20:15,4.688,10.5
06-17 20:45,4.688,10.5
06-17 21:15,4.688,9.2
06-17 21:45,4.688,9.2
06-17 22:15,4.688,7.2
06-17 22:45,4.688,7.2
06-17 23:15,4.688,6.7
06-17 23:45,4.688,6.7
06-18 00:15,4.688,7.5
06-18 00:45,4.688,7.5
06-18 01:15,4.729,6.6
06-18 01:45,4.986,6.6
06-18 02:15,5.145,6.4
06-18 02:45,5.24,6.4
06-18 03:15,5.24,7.7
06-18 03:45,5.148,7.7
06-18 04:15,5.101,7.8
06-18 04:45,5.093,7.8
06-18 05:15,5.147,6.5
06-18 05:45,5.263,6.5
06-18 06:15,5.206,8.5
06-18 06:45,4.973,8.5
06-18 07:15,4.733,9.9
06-18 07:45,4.688,9.9
06-18 08:15,4.688,10.7
06-18 08:45,4.688,10.7
06-18 09:15,4.688,10.1
06-18 09:45,4.688,10.1
06-18 10:15,4.688,10.8
06-18 10:45,4.688,10.8
06-18 11:15,4.688,10.2
06-18 11:45,4.688,10.2
06-18 12:15,4.688,11.5
06-18 12:45,4.688,11.5
06-18 13:15,4.688,11.4
06-18 13:45,4.688,11.4
06-18 14:15,4.688,11.7
06-18 14:45,4.688,11.7
06-18 15:15,4.688,11.5
06-18 15:45,4.688,11.5
06-18 16:15,4.688,11.5
06-18 16:45,4.688,11.5
06-18 17:15,4.688,11.3
06-18 17:45,4.688,11.3
06-18 18:15,4.688,10.8
06-18 18:45,4.688,10.8
06-18 19:15,4.688,10.4
06-18 19:45,4.688,10.4
06-18 20:15,4.688,10.1
06-18 20:45,4.688,10.1
06-18 21:15,4.688,9.9
06-18 21:45,4.688,9.9
06-18 22:15,4.688,9.1
06-18 22:45,4.688,9.1
06-18 23:15,4.688,9.6
06-18 23:45,4.688,9.6
06-19 00:15,4.688,9.5
06-19 00:45,4.688,9.5
06-19 01:15,4.688,9.4
06-19 01:45,4.688,9.4
06-19 02:15,4.688,7.0
06-19 02:45,4.688,7.0
06-19 03:15,4.822,6.1
06-19 03:45,5.135,6.1
06-19 04:15,5.183,7.9
06-19 04:45,5.045,7.9
06-19 05:15,4.932,8.6
06-19 05:45,4.854,8.6
06-19 06:15,4.733,10.0
06-19 06:45,4.688,10.0
06-19 07:15,4.688,10.0
06-19 07:45,4.688,10.0
06-19 08:15,4.688,10.7
06-19 08:45,4.688,10.7
06-19 09:15,4.688,11.1
06-19 09:45,4.688,11.1
06-19 10:15,4.688,11.7
06-19 10:45,4.688,11.7
06-19 11:15,4.688,11.7
06-19 11:45,4.688,11.7
06-19 12:15,4.688,12.5
06-19 12:45,4.688,12.5
06-19 13:15,4.688,11.9
06-19 13:45,4.688,11.9
06-19 14:15,4.688,12.0
06-19 14:45,4.688,12.0
06-19 15:15,4.688,12.5
06-19 15:45,4.688,12.5
06-19 16:15,4.688,13.4
06-19 16:45,4.688,13.4
06-19 17:15,4.688,12.4
06-19 17:45,4.688,12.4
06-19 18:15,4.688,11.5
06-19 18:45,4.688,11.5
06-19 19:15,4.688,10.9
06-19 19:45,4.688,10.9
06-19 20:15,4.688,10.4
06-19 20:45,4.688,10.4
06-19 21:15,4.688,10.3
06-19 21:45,4.688,10.3
06-19 22:15,4.688,10.0
06-19 22:45,4.688,10.0
06-19 23:15,4.688,10.1
06-19 23:45,4.688,10.1
06-20 00:15,4.688,9.5
06-20 00:45,4.688,9.5
06-20 01:15,4.688,9.4
06-20 01:45,4.688,9.4
06-20 02:15,4.688,9.4
06-20 02:45,4.688,9.4
06-20 03:15,4.688,9.3
06-20 03:45,4.688,9.3
06-20 04:15,4.688,9.5
06-20 04:45,4.688,9.5
06-20 05:15,4.688,9.4
06-20 05:45,4.688,9.4
06-20 06:15,4.688,9.8
06-20 06:45,4.688,9.8
06-20 07:15,4.688,10.2
06-20 07:45,4.688,10.2
06-20 08:15,4.688,10.7
06-20 08:45,4.688,10.7
06-20 09:15,4.688,10.7
06-20 09:45,4.688,10.7
06-20 10:15,4.688,11.0
06-20 10:45,4.688,11.0
06-20 11:15,4.688,11.6
06-20 11:45,4.688,11.6
06-20 12:15,4.688,11.6
06-20 12:45,4.688,11.6
06-20 13:15,4.688,11.7
06-20 13:45,4.688,11.7
06-20 14:15,4.688,12.0
06-20 14:45,4.688,12.0
06-20 15:15,4.688,12.0
06-20 15:45,4.688,12.0
06-20 16:15,4.688,11.9
06-20 16:45,4.688,11.9
06-20 17:15,4.688,11.7
06-20 17:45,4.688,11.7
06-20 18:15,4.688,11.3
06-20 18:45,4.688,11.3
06-20 19:15,4.688,11.2
06-20 19:45,4.688,11.2
06-20 20:15,4.688,10.9
06-20 20:45,4.688,10.9
06-20 21:15,4.688,10.6
06-20 21:45,4.688,10.6
06-20 22:15,4.688,10.4
06-20 22:45,4.688,10.4
06-20 23:15,4.688,10.2
06-20 23:45,4.688,10.2
06-21 00:15,4.688,10.2
06-21 00:45,4.688,10.2
06-21 01:15,4.688,10.0
06-21 01:45,4.688,10.0
06-21 02:15,4.688,8.7
06-21 02:45,4.688,8.7
06-21 03:15,4.688,7.0
06-21 03:45,4.688,7.0
06-21 04:15,4.688,9.3
06-21 04:45,4.688,9.3
06-21 05:15,4.688,10.3
06-21 05:45,4.688,10.3
06-21 06:15,4.688,10.8
06-21 06:45,4.688,10.8
06-21 07:15,4.688,11.0
06-21 07:45,4.688,11.0
06-21 08:15,4.688,10.6
06-21 08:45,4.688,10.6
06-21 09:15,4.688,11.2
06-21 09:45,4.688,11.2
06-21 10:15,4.688,11.2
06-21 10:45,4.688,11.2
06-21 11:15,4.688,12.3
06-21 11:45,4.688,12.3
06-21 12:15,4.688,12.9
06-21 12:45,4.688,12.9
06-21 13:15,4.688,12.0
06-21 13:45,4.688,12.0
06-21 14:15,4.688,12.9
06-21 14:45,4.688,12.9
06-21 15:15,4.688,12.5
06-21 15:45,4.688,12.5
06-21 16:15,4.688,12.0
06-21 16:45,4.688,12.0
06-21 17:15,4.688,11.7
06-21 17:45,4.688,11.7
06-21 18:15,4.688,11.5
06-21 18:45,4.688,11.5
06-21 19:15,4.688,11.3
06-21 19:45,4.688,11.3
06-21 20:15,4.688,11.1
06-21 20:45,4.688,11.1
06-21 21:15,4.688,11.0
06-21 21:45,4.688,11.0
06-21 22:15,4.688,10.6
06-21 22:45,4.688,10.6
06-21 23:15,4.688,10.5
06-21 23:45,4.688,10.5
06-22 00:15,4.688,10.5
06-22 00:45,4.688,10.5
06-22 01:15,4.688,10.5
06-22 01:45,4.688,10.5
06-22 02:15,4.688,10.5
06-22 02:45,4.688,10.5
06-22 03:15,4.688,10.7
06-22 03:45,4.688,10.7
06-22 04:15,4.688,10.4
06-22 04:45,4.688,10.4
06-22 05:15,4.688,10.8
06-22 05:45,4.688,10.8
06-22 06:15,4.688,11.1
06-22 06:45,4.688,11.1
06-22 07:15,4.688,11.4
06-22 07:45,4.688,11.4
06-22 08:15,4.688,11.2
06-22 08:45,4.688,11.2
06-22 09:15,4.688,11.4
06-22 09:45,4.688,11.4
06-22 10:15,4.688,10.8
06-22 10:45,4.688,10.8
06-22 11:15,4.688,11.2
06-22 11:45,4.688,11.2
06-22 12:15,4.688,12.1
06-22 12:45,4.688,12.1
06-22 13:15,4.688,12.3
06-22 13:45,4.688,12.3
06-22 14:15,4.688,12.1
06-22 14:45,4.688,12.1
06-22 15:15,4.688,12.3
06-22 15:45,4.688,12.3
06-22 16:15,4.688,12.6
06-22 16:45,4.688,12.6
06-22 17:15,4.688,12.1
06-22 17:45,4.688,12.1
06-22 18:15,4.688,12.1
06-22 18:45,4.688,12.1
06-22 19:15,4.688,11.7
06-22 19:45,4.688,11.7
06-22 20:15,4.688,11.5
06-22 20:45,4.688,11.5
06-22 21:15,4.688,11.0
06-22 21:45,4.688,11.0
06-22 22:15,4.688,10.9
06-22 22:45,4.688,10.9
06-22 23:15,4.688,10.9
06-22 23:45,4.688,10.9
06-23 00:15,4.688,11.0
06-23 00:45,4.688,11.0
06-23 01:15,4.688,10.8
06-23 01:45,4.688,10.8
06-23 02:15,4.688,10.7
06-23 02:45,4.688,10.7
06-23 03:15,4.688,10.7
06-23 03:45,4.688,10.7
06-23 04:15,4.688,10.7
06-23 04:45,4.688,10.7
06-23 05:15,4.688,10.8
06-23 05:45,4.688,10.8
06-23 06:15,4.688,11.1
06-23 06:45,4.688,11.1
06-23 07:15,4.688,11.3
06-23 07:45,4.688,11.3
06-23 08:15,4.688,12.1
06-23 08:45,4.688,12.1
06-23 09:15,4.688,13.2
06-23 09:45,4.688,13.2
06-23 10:15,4.688,12.2
06-23 10:45,4.688,12.2
06-23 11:15,4.688,12.0
06-23 11:45,4.688,12.0
06-23 12:15,4.688,12.9
06-23 12:45,4.688,12.9
06-23 13:15,4.688,12.1
06-23 13:45,4.688,12.1
06-23 14:15,4.688,12.0
06-23 14:45,4.688,12.0
06-23 15:15,4.688,12.0
06-23 15:45,4.688,12.0
06-23 16:15,4.688,12.4
06-23 16:45,4.688,12.4
06-23 17:15,4.688,12.6
06-23 17:45,4.688,12.6
06-23 18:15,4.688,12.4
06-23 18:45,4.688,12.4
06-23 19:15,4.688,12.0
06-23 19:45,4.688,12.0
06-23 20:15,4.688,12.3
06-23 20:45,4.688,12.3
06-23 21:15,4.688,12.7
06-23 21:45,4.688,12.7
06-23 22:15,4.688,11.6
06-23 22:45,4.688,11.6
06-23 23:15,4.688,11.7
06-23 23:45,4.688,11.7
06-24 00:15,4.688,11.3
06-24 00:45,4.688,11.3
06-24 01:15,4.688,10.8
06-24 01:45,4.688,10.8
06-24 02:15,4.688,10.8
06-24 02:45,4.688,10.8
06-24 03:15,4.688,10.6
06-24 03:45,4.688,10.6
06-24 04:15,4.688,10.5
06-24 04:45,4.688,10.5
06-24 05:15,4.688,10.6
06-24 05:45,4.688,10.6
06-24 06:15,4.688,10.8
06-24 06:45,4.688,10.8
06-24 07:15,4.688,11.1
06-24 07:45,4.688,11.1
06-24 08:15,4.688,11.3
06-24 08:45,4.688,11.3
06-24 09:15,4.688,11.6
06-24 09:45,4.688,11.6
06-24 10:15,4.688,12.3
06-24 10:45,4.688,12.3
06-24 11:15,4.688,11.0
06-24 11:45,4.688,11.0
06-24 12:15,4.688,11.5
06-24 12:45,4.688,11.5
06-24 13:15,4.688,12.9
06-24 13:45,4.688,12.9
06-24 14:15,4.688,12.2
06-24 14:45,4.688,12.2
06-24 15:15,4.688,13.2
06-24 15:45,4.688,13.2
06-24 16:15,4.688,12.3
06-24 16:45,4.688,12.3
06-24 17:15,4.688,12.4
06-24 17:45,4.688,12.4
06-24 18:15,4.688,11.9
06-24 18:45,4.688,11.9
06-24 19:15,4.688,11.2
06-24 19:45,4.688,11.2
06-24 20:15,4.688,10.6
06-24 20:45,4.688,10.6
06-24 21:15,4.688,9.7
06-24 21:45,4.688,9.7
06-24 22:15,4.688,9.5
06-24 22:45,4.688,9.5
06-24 23:15,4.688,9.8
06-24 23:45,4.688,9.8
06-25 00:15,4.688,8.0
06-25 00:45,4.688,8.0
06-25 01:15,4.688,7.9
06-25 01:45,4.688,7.9
06-25 02:15,4.688,6.8
06-25 02:45,4.688,6.8
06-25 03:15,4.688,6.6
06-25 03:45,4.841,6.6
06-25 04:15,4.889,8.0
06-25 04:45,4.776,8.0
06-25 05:15,4.688,9.0
06-25 05:45,4.688,9.0
06-25 06:15,4.688,10.1
06-25 06:45,4.688,10.1
06-25 07:15,4.688,11.4
06-25 07:45,4.688,11.4
06-25 08:15,4.688,12.4
06-25 08:45,4.688,12.4
06-25 09:15,4.688,12.4
06-25 09:45,4.688,12.4
06-25 10:15,4.688,12.4
06-25 10:45,4.688,12.4
06-25 11:15,4.688,12.2
06-25 11:45,4.688,12.2
06-25 12:15,4.688,12.6
06-25 12:45,4.688,12.6
06-25 13:15,4.688,12.8
06-25 13:45,4.688,12.8
06-25 14:15,4.688,11.8
06-25 14:45,4.688,11.8
06-25 15:15,4.688,11.6
06-25 15:45,4.688,11.6
06-25 16:15,4.688,11.1
06-25 16:45,4.688,11.1
06-25 17:15,4.688,10.8
06-25 17:45,4.688,10.8
06-25 18:15,4.688,11.0
06-25 18:45,4.688,11.0
06-25 19:15,4.688,10.7
06-25 19:45,4.688,10.7
06-25 20:15,4.688,10.3
06-25 20:45,4.688,10.3
06-25 21:15,4.688,10.0
06-25 21:45,4.688,10.0
06-25 22:15,4.688,9.8
06-25 22:45,4.688,9.8
06-25 23:15,4.688,9.4
06-25 23:45,4.688,9.4
06-26 00:15,4.688,7.8
06-26 00:45,4.688,7.8
06-26 01:15,4.688,7.6
06-26 01:45,4.688,7.6
06-26 02:15,4.759,6.8
06-26 02:45,4.996,6.8
06-26 03:15,5.15,6.3
06-26 03:45,5.267,6.3
06-26 04:15,5.366,5.9
06-26 04:45,5.447,5.9
06-26 05:15,5.422,7.1
06-26 05:45,5.278,7.1
06-26 06:15,5.053,9.3
06-26 06:45,4.765,9.3
06-26 07:15,4.688,10.4
06-26 07:45,4.688,10.4
06-26 08:15,4.688,11.2
06-26 08:45,4.688,11.2
06-26 09:15,4.688,11.1
06-26 09:45,4.688,11.1
06-26 10:15,4.688,11.1
06-26 10:45,4.688,11.1
06-26 11:15,4.688,12.3
06-26 11:45,4.688,12.3
06-26 12:15,4.688,12.5
06-26 12:45,4.688,12.5
06-26 13:15,4.688,12.1
06-26 13:45,4.688,12.1
06-26 14:15,4.688,12.9
06-26 14:45,4.688,12.9
06-26 15:15,4.688,12.4
06-26 15:45,4.688,12.4
06-26 16:15,4.688,12.4
06-26 16:45,4.688,12.4
06-26 17:15,4.688,11.8
06-26 17:45,4.688,11.8
06-26 18:15,4.688,11.6
06-26 18:45,4.688,11.6
06-26 19:15,4.688,11.1
06-26 19:45,4.688,11.1
06-26 20:15,4.688,11.0
06-26 20:45,4.688,11.0
06-26 21:15,4.688,10.9
06-26 21:45,4.688,10.9
06-26 22:15,4.688,10.9
06-26 22:45,4.688,10.9
06-26 23:15,4.688,10.4
06-26 23:45,4.688,10.4
06-27 00:15,4.688,10.6
06-27 00:45,4.688,10.6
06-27 01:15,4.688,10.7
06-27 01:45,4.688,10.7
06-27 02:15,4.688,10.8
06-27 02:45,4.688,10.8
06-27 03:15,4.688,10.6
06-27 03:45,4.688,10.6
06-27 04:15,4.688,10.7
06-27 04:45,4.688,10.7
06-27 05:15,4.688,10.9
06-27 05:45,4.688,10.9
06-27 06:15,4.688,10.9
06-27 06:45,4.688,10.9
06-27 07:15,4.688,11.2
06-27 07:45,4.688,11.2
06-27 08:15,4.688,11.5
06-27 08:45,4.688,11.5
06-27 09:15,4.688,11.5
06-27 09:45,4.688,11.5
06-27 10:15,4.688,11.4
06-27 10:45,4.688,11.4
06-27 11:15,4.688,11.6
06-27 11:45,4.688,11.6
06-27 12:15,4.688,12.1
06-27 12:45,4.688,12.1
06-27 13:15,4.688,11.8
06-27 13:45,4.688,11.8
06-27 14:15,4.688,11.6
06-27 14:45,4.688,11.6
06-27 15:15,4.688,11.5
06-27 15:45,4.688,11.5
06-27 16:15,4.688,11.4
06-27 16:45,4.688,11.4
06-27 17:15,4.688,11.3
06-27 17:45,4.688,11.3
06-27 18:15,4.688,11.2
06-27 18:45,4.688,11.2
06-27 19:15,4.688,11.1
06-27 19:45,4.688,11.1
06-27 20:15,4.688,11.1
06-27 20:45,4.688,11.1
06-27 21:15,4.688,11.0
06-27 21:45,4.688,11.0
06-27 22:15,4.688,11.1
06-27 22:45,4.688,11.1
06-27 23:15,4.688,11.1
06-27 23:45,4.688,11.1
06-28 00:15,4.688,11.2
06-28 00:45,4.688,11.2
06-28 01:15,4.688,11.6
06-28 01:45,4.688,11.6
06-28 02:15,4.688,11.8
06-28 02:45,4.688,11.8
06-28 03:15,4.688,11.5
06-28 03:45,4.688,11.5
06-28 04:15,4.688,11.5
06-28 04:45,4.688,11.5
06-28 05:15,4.688,12.4
06-28 05:45,4.688,12.4
06-28 06:15,4.688,13.7
06-28 06:45,4.688,13.7
06-28 07:15,4.688,13.8
06-28 07:45,4.688,13.8
06-28 08:15,4.688,16.6
06-28 08:45,4.688,16.6
06-28 09:15,4.688,18.3
06-28 09:45,4.688,18.3
06-28 10:15,4.688,18.3
06-28 10:45,4.688,18.3
06-28 11:15,4.688,18.3
06-28 11:45,4.688,18.3
06-28 12:15,4.688,19.1
06-28 12:45,4.688,19.1
06-28 13:15,4.688,20.8
06-28 13:45,4.688,20.8
06-28 14:15,4.688,20.4
06-28 14:45,4.688,20.4
06-28 15:15,4.688,20.6
06-28 15:45,4.688,20.6
06-28 16:15,4.688,19.6
06-28 16:45,4.688,19.6
06-28 17:15,4.688,18.2
06-28 17:45,4.688,18.2
06-28 18:15,4.688,18.3
06-28 18:45,4.688,18.3
06-28 19:15,4.688,18.0
06-28 19:45,4.688,18.0
06-28 20:15,4.688,17.1
06-28 20:45,4.688,17.1
06-28 21:15,4.688,16.7
06-28 21:45,4.688,16.7
06-28 22:15,4.688,16.3
06-28 22:45,4.688,16.3
06-28 23:15,4.688,15.8
06-28 23:45,4.688,15.8
06-29 00:15,4.688,15.5
06-29 00:45,4.688,15.5
06-29 01:15,4.688,15.5
06-29 01:45,4.688,15.5
06-29 02:15,4.688,15.3
06-29 02:45,4.688,15.3
06-29 03:15,4.688,15.2
06-29 03:45,4.688,15.2
06-29 04:15,4.688,14.4
06-29 04:45,4.688,14.4
06-29 05:15,4.688,14.5
06-29 05:45,4.688,14.5
06-29 06:15,4.688,15.1
06-29 06:45,4.688,15.1
06-29 07:15,4.688,15.4
06-29 07:45,4.688,15.4
06-29 08:15,4.688,15.4
06-29 08:45,4.688,15.4
06-29 09:15,4.688,16.2
06-29 09:45,4.688,16.2
06-29 10:15,4.688,15.8
06-29 10:45,4.688,15.8
06-29 11:15,4.688,17.4
